fips,year,total_subs_adj
55083,2018,8567677.539
55085,2018,214228.7025
55087,2018,8725549.016
55089,2018,1720845.476
55091,2018,3160729.919
55093,2018,7365498.986
55095,2018,6845849.661
55097,2018,4582733.215
55099,2018,583230.4571
55101,2018,5155704.264
55103,2018,4056436.435
55105,2018,15209806.55
55107,2018,2169877.515
55109,2018,9794596.803
55111,2018,7141325.488
55113,2018,652018.9313
55115,2018,9176305.334
55117,2018,5529367.356
55119,2018,5908171.824
55121,2018,8547053.175
55123,2018,5367476.96
55125,2018,53800.74649
55127,2018,10341668.15
55129,2018,1346736.852
55131,2018,3424784.088
55133,2018,2227390.688
55135,2018,5661004.22
55137,2018,2947506.961
55139,2018,5872037.07
55141,2018,6268751.1
55001,2017,3674963.671
55003,2017,166620.2267
55005,2017,5409004.387
55007,2017,271783.0632
55009,2017,3330308.89
55011,2017,3853003.397
55013,2017,880486.886
55015,2017,1902658.321
55017,2017,5324152.538
55019,2017,3720340.667
55021,2017,4853342.279
55023,2017,2359175.586
55025,2017,16201487.89
55027,2017,8960302.321
55029,2017,2660694.861
55031,2017,24247.81854
55033,2017,5215361.114
55035,2017,3303669.596
55037,2017,56386.88388
55039,2017,6469044.29
55041,2017,130198.8489
55043,2017,11858963.42
55045,2017,6073281.041
55047,2017,2888167.368
55049,2017,7596562.68
55051,2017,30702.31848
55053,2017,2530291.206
55055,2017,3111984.395
55057,2017,2913837.453
55059,2017,3711875.342
55061,2017,3501454.507
55063,2017,2353961.301
55065,2017,11482722.97
55067,2017,1295243.329
55069,2017,797982.0336
55071,2017,3523350.157
55073,2017,5136220.049
55075,2017,3146910.066
55077,2017,1977651.542
55078,2017,1282.624989
55079,2017,158010.0892
55081,2017,2467598.772
55083,2017,4939498.475
55085,2017,286685.3037
55087,2017,4054065.208
55089,2017,784668.5931
55091,2017,1244698.595
55093,2017,3708856.002
55095,2017,3893126.803
55097,2017,3134405.507
55099,2017,316522.8847
55101,2017,3774908.086
55103,2017,3195707.741
55105,2017,10153238.72
55107,2017,1297541.711
55109,2017,6265216.561
55111,2017,3828030.482
55113,2017,552873.4327
55115,2017,4716185.19
55117,2017,2319846.58
55119,2017,2313166.586
55121,2017,4853066.101
55123,2017,2464461.513
55125,2017,43393.06524
55127,2017,11660150.34
55129,2017,761840.9714
55131,2017,1255742.617
55133,2017,2102358.894
55135,2017,3214073.069
55137,2017,2649664.286
55139,2017,5577996.436
55141,2017,2504292.191
55001,2016,4374552.063
55003,2016,159938.533
55005,2016,7073965.8
55007,2016,241636.0547
55009,2016,4049028.066
55011,2016,6308843.497
55013,2016,799130.0751
55015,2016,2848372.827
55017,2016,5969269.474
55019,2016,3962491.22
55021,2016,12932534.4
55023,2016,4033627.824
55025,2016,25262565.48
55027,2016,13985183.27
55029,2016,2961087.457
55031,2016,30338.8449
